Humain_0,Humain_1,Humain_2,Humain_3,Humain_4,Humain_5,Humain_6,Humain_7,Humain_8,Humain_9,Humain_10,Humain_11,Humain_12,Humain_13,Humain_14,Humain_15,Humain_16,Humain_17,Humain_18,Humain_19,Humain_20,Humain_21,Humain_22,Humain_23,Humain_24,Humain_25,Humain_26,Humain_27,Humain_28,Humain_29,Humain_30,Humain_31,Humain_32,Humain_33,Humain_34,Humain_35,Humain_36,Humain_37,Humain_38,Humain_39,Humain_40,Humain_41,Humain_42,Humain_43,Humain_44,Humain_45,Humain_46,Humain_47,Humain_48,Humain_49,Humain_50,Humain_51,Humain_52,Humain_53,Humain_54,Humain_55,Humain_56,Humain_57,Humain_58,Humain_59,Humain_60,Humain_61,Humain_62,Humain_63,Humain_64,Humain_65,Humain_66,Humain_67,Humain_68,Humain_69,Humain_70,Humain_71,Humain_72,Humain_73,Humain_74,Humain_75,Humain_76,Humain_77,Humain_78,Humain_79,Humain_80,Humain_81,Humain_82,Humain_83,Humain_84,Humain_85,Humain_86,Humain_87,Humain_88,Humain_89,Humain_90,Humain_91,Humain_92,Humain_93,Humain_94,Humain_95,Humain_96,Humain_97,Humain_98,Humain_99,
20,2,2,16,17,22,2,17,9,11,23,23,22,17,20,21,3,0,4,10,4,2,3,6,10,24,24,0,21,4,3,22,17,6,21,7,14,13,9,11,15,19,8,1,22,17,6,0,21,8,15,3,7,1,21,15,7,6,21,8,10,22,21,3,19,15,18,24,9,15,2,19,20,16,13,8,1,11,20,23,17,4,18,16,20,10,20,7,9,5,19,18,10,8,1,3,5,5,5,0,
20,2,2,16,18,22,1,17,9,11,22,23,23,17,20,21,4,24,4,11,5,2,2,6,10,0,23,1,21,5,3,21,17,6,22,8,14,13,9,11,15,19,8,1,22,17,5,0,22,8,16,2,7,1,21,15,7,7,21,8,11,23,21,3,19,16,19,0,10,14,1,20,21,15,12,8,2,11,20,24,17,4,17,16,20,11,20,7,8,4,18,18,10,7,2,3,6,5,5,1,
19,2,2,16,18,22,1,17,8,12,21,23,23,17,20,22,5,24,5,11,6,2,1,5,9,0,23,0,21,4,3,21,17,5,22,7,14,13,9,11,15,19,8,2,22,17,6,0,22,7,15,2,6,1,21,15,8,6,22,8,11,23,21,3,20,16,19,0,10,15,1,20,20,15,12,8,2,12,20,24,18,4,17,16,19,11,20,6,8,5,18,18,9,7,2,2,6,4,6,0,
18,2,3,15,18,22,1,17,9,12,20,23,23,17,21,21,6,24,5,10,5,2,1,6,9,1,23,1,20,3,3,22,16,4,23,6,13,12,9,11,16,18,8,2,23,17,6,0,21,6,15,3,6,0,21,16,8,6,22,8,12,23,22,4,20,16,18,1,10,16,1,19,19,16,12,7,2,11,20,0,18,4,18,16,19,11,20,6,9,5,18,18,8,8,1,2,6,4,6,0,
18,2,3,15,19,23,1,17,9,12,21,23,24,17,21,22,6,24,5,10,5,2,2,5,9,1,23,0,20,2,3,23,15,3,24,6,13,13,10,11,15,18,8,2,24,17,5,24,21,6,15,2,6,1,21,15,7,5,22,7,12,23,23,4,20,16,17,1,11,16,2,18,18,16,12,7,2,11,20,24,18,5,18,16,20,10,19,6,10,6,17,17,9,9,1,2,6,4,6,1,
19,3,2,16,18,22,1,16,9,12,21,23,24,18,20,21,6,24,5,9,5,2,3,6,9,2,23,1,20,2,3,22,15,3,0,6,13,12,10,12,15,18,8,3,24,17,4,24,21,6,14,2,7,1,20,14,7,6,22,7,12,23,22,4,20,17,18,1,11,16,2,17,18,15,11,7,3,11,20,24,17,5,18,17,20,10,18,5,10,5,16,16,9,10,1,2,7,3,6,2,
19,4,1,16,19,22,1,16,9,12,20,22,24,18,20,21,6,23,5,10,4,2,3,6,9,2,24,1,20,2,3,21,16,3,1,6,13,13,10,11,16,19,8,4,0,17,4,24,21,7,14,3,6,1,20,13,8,6,23,6,12,23,23,4,20,17,18,1,11,16,3,17,19,15,11,7,3,11,19,24,18,6,17,18,19,10,19,4,10,5,16,15,9,10,2,2,7,3,6,2,
20,5,1,17,20,23,1,16,8,12,20,22,0,18,19,20,6,24,5,10,4,2,4,5,9,2,24,0,21,1,3,21,15,3,2,6,13,13,10,11,16,18,9,4,0,17,3,24,21,6,14,3,5,1,20,13,7,6,22,7,12,22,23,4,20,18,18,2,11,17,4,17,20,16,12,7,2,10,19,24,18,6,16,19,19,10,19,3,10,5,16,16,9,9,2,1,7,3,7,2,
20,5,1,17,20,23,1,15,8,12,20,22,24,17,20,21,6,24,5,11,4,2,5,6,8,2,23,0,22,2,3,22,15,3,2,6,13,14,10,11,16,18,9,5,0,18,3,23,21,7,14,3,5,1,20,13,8,6,22,7,12,22,23,4,20,17,17,2,11,17,4,17,20,16,12,6,2,10,19,24,18,6,16,18,19,10,19,3,10,5,16,16,9,8,2,2,6,3,7,3,
19,5,1,17,20,24,1,16,9,12,20,22,0,18,19,21,6,0,5,11,4,1,5,5,8,2,23,24,21,2,3,21,15,3,2,7,14,14,10,12,17,18,8,4,0,18,4,22,20,7,15,3,5,1,20,13,8,6,22,8,12,22,23,4,21,16,18,1,12,18,3,17,20,17,12,7,2,11,19,23,17,5,17,19,19,11,19,3,9,4,16,17,10,7,2,2,7,3,7,2,
