Humain_0,Humain_1,Humain_2,Humain_3,Humain_4,Humain_5,Humain_6,Humain_7,Humain_8,Humain_9,Humain_10,Humain_11,Humain_12,Humain_13,Humain_14,Humain_15,Humain_16,Humain_17,Humain_18,Humain_19,Humain_20,Humain_21,Humain_22,Humain_23,Humain_24,Humain_25,Humain_26,Humain_27,Humain_28,Humain_29,Humain_30,Humain_31,Humain_32,Humain_33,Humain_34,Humain_35,Humain_36,Humain_37,Humain_38,Humain_39,Humain_40,Humain_41,Humain_42,Humain_43,Humain_44,Humain_45,Humain_46,Humain_47,Humain_48,Humain_49,Humain_50,Humain_51,Humain_52,Humain_53,Humain_54,Humain_55,Humain_56,Humain_57,Humain_58,Humain_59,Humain_60,Humain_61,Humain_62,Humain_63,Humain_64,Humain_65,Humain_66,Humain_67,Humain_68,Humain_69,Humain_70,Humain_71,Humain_72,Humain_73,Humain_74,Humain_75,Humain_76,Humain_77,Humain_78,Humain_79,Humain_80,Humain_81,Humain_82,Humain_83,Humain_84,Humain_85,Humain_86,Humain_87,Humain_88,Humain_89,Humain_90,Humain_91,Humain_92,Humain_93,Humain_94,Humain_95,Humain_96,Humain_97,Humain_98,Humain_99,
1,21,2,14,13,23,20,18,19,1,14,15,6,22,1,22,6,4,13,8,7,0,21,11,5,5,17,22,15,5,6,9,11,6,6,13,17,15,2,7,14,7,18,17,17,13,6,23,3,5,15,22,2,14,19,14,12,4,8,16,23,20,9,10,6,22,2,19,22,21,8,6,13,17,4,10,23,19,16,10,10,10,4,18,17,22,19,23,20,22,22,22,2,6,4,5,4,6,18,9,
1,21,3,15,13,24,20,18,19,1,14,15,7,22,2,22,5,5,13,9,6,0,21,11,5,4,17,22,15,5,6,9,11,6,6,13,17,15,3,6,14,6,18,17,16,14,6,23,2,5,15,22,2,15,18,14,12,4,9,15,23,19,9,10,5,21,3,18,23,20,8,5,13,16,4,11,23,20,16,10,10,11,4,18,17,22,19,24,20,22,23,23,2,5,4,5,3,7,17,8,
1,21,4,14,13,24,19,17,19,0,14,15,7,22,3,23,6,5,14,9,7,1,20,11,4,4,17,23,14,6,5,10,10,7,5,12,17,15,2,6,14,6,19,18,16,13,5,23,2,5,15,23,3,15,18,14,11,4,9,15,24,20,9,9,5,21,3,17,23,20,9,6,13,16,4,11,22,21,16,10,9,11,4,19,17,22,18,24,21,22,22,24,2,6,4,6,3,7,17,8,
0,21,5,14,14,24,18,17,18,0,14,14,6,22,2,22,5,4,14,9,6,1,19,12,4,4,16,23,13,6,4,10,10,8,6,11,17,16,2,5,15,6,19,17,16,13,5,23,3,6,14,22,3,14,18,15,11,4,9,15,24,19,9,8,5,22,3,17,23,20,9,7,13,16,5,11,21,21,16,10,9,10,4,19,17,23,18,23,21,21,22,24,2,6,4,7,3,8,18,9,
0,20,5,14,15,24,18,17,19,24,14,13,7,22,3,22,5,3,14,9,5,0,19,12,4,4,16,24,13,6,4,11,10,7,6,12,17,17,2,5,15,6,18,17,17,12,5,23,2,6,14,23,4,13,18,14,10,4,10,15,0,19,9,7,5,21,3,17,23,21,9,7,13,16,5,12,22,20,16,10,9,10,5,19,18,23,17,24,21,21,22,23,2,7,3,8,4,8,18,10,
24,19,6,15,14,0,19,16,19,0,15,13,8,21,3,23,6,2,14,9,4,0,20,12,3,4,16,23,14,5,4,11,11,6,6,12,17,17,1,4,15,7,18,17,18,12,5,24,2,6,14,24,3,12,18,14,11,4,9,15,24,18,10,6,5,21,3,18,23,22,8,6,14,16,5,12,21,20,16,10,9,10,4,20,17,23,17,23,21,21,23,22,2,7,3,8,5,7,18,10,
0,19,7,14,15,0,20,17,20,24,14,14,9,22,3,23,6,1,13,10,4,1,20,12,3,4,17,23,13,5,4,10,12,6,7,11,17,17,0,4,15,7,17,18,18,12,5,0,2,7,13,23,2,12,18,14,12,4,9,16,0,18,9,6,4,22,2,18,24,22,9,7,14,17,6,12,21,21,15,9,9,10,3,20,18,23,16,23,21,21,23,22,1,7,4,8,5,7,18,10,
0,19,6,13,15,0,20,16,20,24,13,14,8,22,4,23,6,0,13,9,4,0,19,12,2,4,17,24,13,5,3,10,13,7,8,12,17,16,1,4,14,7,16,18,19,11,5,1,2,6,13,23,2,13,18,14,13,4,8,16,0,19,9,7,4,21,2,19,24,22,9,7,15,17,6,12,21,21,16,9,9,10,3,19,18,23,16,22,21,21,22,22,1,7,4,8,5,7,17,10,
24,19,5,14,14,24,20,15,21,0,13,14,7,22,4,23,6,1,13,8,5,1,19,12,2,4,17,23,13,6,3,10,14,7,8,12,17,17,2,4,14,8,17,18,19,11,4,1,1,6,13,24,3,13,17,15,12,3,7,16,24,20,9,6,4,20,3,18,23,21,9,7,15,18,6,12,21,21,15,9,9,10,4,19,18,23,16,22,21,22,21,21,0,7,3,7,5,6,17,11,
23,18,6,14,13,24,19,15,20,1,13,14,6,22,3,22,6,1,14,8,5,2,19,12,2,4,17,24,13,6,3,10,14,7,8,11,17,17,2,4,14,7,18,19,18,11,4,2,1,6,14,23,3,13,17,15,12,3,7,16,24,20,10,6,4,21,3,18,23,22,10,7,15,17,6,12,20,22,15,8,9,10,4,19,19,23,16,22,22,22,21,20,0,7,3,8,4,6,18,12,
