Humain_0,Humain_1,Humain_2,Humain_3,Humain_4,Humain_5,Humain_6,Humain_7,Humain_8,Humain_9,Humain_10,Humain_11,Humain_12,Humain_13,Humain_14,Humain_15,Humain_16,Humain_17,Humain_18,Humain_19,Humain_20,Humain_21,Humain_22,Humain_23,Humain_24,Humain_25,Humain_26,Humain_27,Humain_28,Humain_29,Humain_30,Humain_31,Humain_32,Humain_33,Humain_34,Humain_35,Humain_36,Humain_37,Humain_38,Humain_39,Humain_40,Humain_41,Humain_42,Humain_43,Humain_44,Humain_45,Humain_46,Humain_47,Humain_48,Humain_49,Humain_50,Humain_51,Humain_52,Humain_53,Humain_54,Humain_55,Humain_56,Humain_57,Humain_58,Humain_59,Humain_60,Humain_61,Humain_62,Humain_63,Humain_64,Humain_65,Humain_66,Humain_67,Humain_68,Humain_69,Humain_70,Humain_71,Humain_72,Humain_73,Humain_74,Humain_75,Humain_76,Humain_77,Humain_78,Humain_79,Humain_80,Humain_81,Humain_82,Humain_83,Humain_84,Humain_85,Humain_86,Humain_87,Humain_88,Humain_89,Humain_90,Humain_91,Humain_92,Humain_93,Humain_94,Humain_95,Humain_96,Humain_97,Humain_98,Humain_99,
19,21,12,20,20,16,1,22,24,8,12,11,17,9,15,21,18,18,10,15,21,2,24,19,13,12,12,4,22,4,7,0,20,10,8,21,1,17,0,8,16,8,5,11,12,9,6,19,22,10,22,18,18,10,15,3,5,24,7,4,18,11,14,24,21,5,1,14,18,23,13,14,15,16,14,12,11,19,6,12,7,5,16,24,7,11,7,17,22,22,20,15,19,10,15,20,6,6,10,13,
20,22,13,21,20,17,2,23,0,8,13,12,18,10,16,22,19,18,11,16,22,3,0,20,14,13,13,5,23,5,8,1,21,11,9,22,2,18,1,9,17,9,6,12,13,10,7,20,23,11,23,18,19,11,16,4,6,0,7,5,19,12,14,0,21,6,2,15,19,24,14,15,16,17,15,13,12,20,7,13,8,6,17,0,8,12,8,18,23,23,21,16,20,11,15,21,6,7,11,14,
21,23,14,21,21,18,3,24,1,9,14,12,19,11,17,23,20,19,12,17,22,4,1,21,15,14,14,6,24,6,9,2,22,12,10,23,3,19,2,10,18,10,7,13,14,11,8,21,24,12,24,19,20,12,17,5,7,1,8,6,19,13,15,1,22,7,3,16,20,0,15,16,17,18,16,14,13,21,8,14,9,7,18,1,9,13,9,19,24,24,22,17,21,12,16,22,7,8,12,15,
22,24,14,22,22,18,4,0,2,10,15,13,20,12,18,24,21,20,13,18,23,5,2,22,16,15,15,7,0,7,10,3,23,13,11,24,4,20,3,11,19,11,8,14,15,12,9,22,0,13,0,20,21,13,18,6,8,2,9,7,20,14,16,2,23,8,4,17,21,1,15,17,18,19,17,15,14,22,9,15,10,8,19,2,10,14,10,20,0,0,23,18,22,13,17,23,8,9,13,16,
23,0,14,22,23,19,5,1,3,11,16,14,21,13,19,0,22,21,14,19,24,6,3,23,17,16,16,8,1,8,11,4,24,13,12,0,5,21,4,12,20,12,9,15,16,13,10,23,1,14,1,21,22,14,19,7,9,3,10,8,21,15,17,3,24,9,5,18,22,2,16,18,19,20,18,16,15,23,10,16,11,9,20,3,11,15,11,21,1,1,24,19,23,14,18,24,9,10,13,17,
24,1,15,23,24,20,6,2,4,12,17,15,22,14,20,1,23,22,15,20,0,7,4,24,18,17,17,9,2,9,12,5,0,13,12,1,6,22,5,13,21,13,10,16,17,14,11,24,2,15,2,22,23,15,20,8,10,4,11,9,22,16,18,4,0,10,6,19,23,3,17,19,20,21,19,17,16,24,11,17,12,10,21,4,12,16,12,22,2,2,0,20,24,15,19,0,10,11,14,18,
0,2,16,24,0,21,7,3,5,13,18,16,23,15,21,2,24,23,16,21,1,8,5,0,19,18,18,10,3,10,13,6,1,14,12,2,7,23,6,14,22,14,11,17,18,15,12,0,3,16,3,23,24,16,21,9,11,5,12,10,23,17,19,5,1,11,7,20,24,4,18,20,21,22,20,18,17,0,12,18,13,11,22,5,13,17,13,23,3,3,1,21,0,16,20,1,11,12,15,19,
1,3,17,0,1,22,8,4,6,14,19,17,24,16,22,3,0,24,17,22,2,9,6,1,20,19,19,11,4,11,14,7,2,15,13,3,8,24,7,15,23,15,12,18,19,16,13,1,4,17,4,24,0,17,22,10,12,6,13,11,24,18,20,6,2,12,8,21,0,5,19,21,22,23,21,19,18,1,13,19,14,12,23,6,14,18,14,24,4,4,2,22,1,17,21,2,12,13,16,20,
2,4,18,1,2,23,9,5,7,15,20,18,0,17,23,4,1,0,18,23,3,10,7,2,21,20,20,12,5,12,15,8,3,16,14,4,9,0,8,16,24,16,13,19,20,17,14,2,5,18,5,0,1,18,23,11,13,7,14,12,0,19,21,7,3,13,9,22,1,6,20,22,23,24,22,20,19,2,14,20,15,13,24,7,15,19,15,0,5,5,3,23,2,18,22,3,13,14,17,21,
3,5,19,2,3,24,10,6,8,16,21,19,1,18,24,5,2,1,19,24,4,11,8,3,22,21,21,13,6,13,16,9,4,17,15,5,10,1,9,17,0,17,14,20,21,18,15,3,6,19,6,1,2,19,24,12,14,8,15,13,1,20,22,8,4,14,10,23,2,7,21,23,24,0,23,21,20,3,15,21,16,14,0,8,16,20,16,1,6,6,4,24,3,19,23,4,14,15,18,22,
4,6,20,3,4,0,11,7,9,17,22,20,2,19,0,6,3,2,20,0,5,12,9,4,23,22,22,14,7,14,17,10,5,18,16,6,11,2,10,18,1,18,15,21,22,19,16,4,7,20,7,2,3,20,0,13,15,9,16,14,2,21,23,9,5,15,11,24,3,8,22,24,0,1,24,22,21,4,16,22,17,15,1,9,17,21,17,2,7,7,5,0,4,20,24,5,15,16,19,23,
5,7,21,4,5,1,12,8,10,18,23,21,3,20,1,7,4,3,21,1,6,13,10,5,24,23,23,15,8,15,18,11,6,19,17,7,12,3,11,19,2,19,16,22,23,20,17,5,8,21,8,3,4,21,1,14,16,10,17,15,3,22,24,10,6,16,12,0,4,9,23,0,1,2,0,23,22,5,17,23,18,16,2,10,18,22,18,3,8,8,6,1,5,21,0,6,16,17,20,24,
6,8,22,5,6,2,13,9,11,19,24,22,4,21,2,8,5,4,22,2,7,14,11,6,0,24,24,16,9,16,19,12,7,20,18,8,13,4,12,20,3,20,17,23,24,21,18,6,9,22,9,4,5,22,2,15,17,11,18,16,4,23,0,11,7,17,13,1,5,10,24,1,2,3,1,24,23,6,18,24,19,17,3,11,19,23,19,4,9,9,7,2,6,22,1,7,17,18,21,0,
7,9,23,6,7,3,14,10,12,20,0,23,5,22,3,9,6,5,23,3,8,15,12,7,1,0,0,17,10,17,20,13,8,21,19,9,14,5,13,21,4,21,18,24,0,22,19,7,10,23,10,5,6,23,3,16,18,12,19,17,5,24,1,12,8,18,14,2,6,11,0,2,3,4,2,0,24,7,19,0,20,18,4,12,20,24,20,5,10,10,8,3,7,23,2,8,18,19,22,1,
8,10,24,7,8,4,15,11,13,21,1,24,6,23,4,10,7,6,24,4,9,16,13,8,2,1,1,18,11,18,21,14,9,22,20,10,15,6,14,22,5,22,19,0,1,23,20,8,11,24,11,6,7,24,4,17,19,13,20,18,6,0,2,13,9,19,15,3,7,12,1,3,4,5,3,1,0,8,20,1,21,19,5,13,21,0,21,6,11,11,9,4,8,24,3,9,19,20,23,2,
9,11,0,8,9,5,16,12,14,22,2,0,7,24,5,11,8,7,0,5,10,17,14,9,3,2,2,19,12,19,22,15,10,23,21,11,16,7,15,23,6,23,20,1,2,24,21,9,12,0,12,7,8,0,5,18,20,14,21,19,7,1,3,14,10,20,16,4,8,13,2,4,5,6,4,2,1,9,21,2,22,20,6,14,22,1,22,7,12,12,10,5,9,0,4,10,20,21,24,3,
10,12,1,9,10,6,17,13,15,23,3,1,8,0,6,12,9,8,1,6,11,18,15,10,4,3,3,20,13,20,23,16,11,24,22,12,17,8,16,24,7,24,21,2,3,0,22,10,13,1,13,8,9,1,6,19,21,15,22,20,8,2,4,15,11,21,17,5,9,14,3,5,6,7,5,3,2,10,22,3,23,21,7,15,23,2,23,8,13,13,11,6,10,1,5,11,21,22,0,4,
