Humain_0,Humain_1,Humain_2,Humain_3,Humain_4,Humain_5,Humain_6,Humain_7,Humain_8,Humain_9,Humain_10,Humain_11,Humain_12,Humain_13,Humain_14,Humain_15,Humain_16,Humain_17,Humain_18,Humain_19,Humain_20,Humain_21,Humain_22,Humain_23,Humain_24,Humain_25,Humain_26,Humain_27,Humain_28,Humain_29,Humain_30,Humain_31,Humain_32,Humain_33,Humain_34,Humain_35,Humain_36,Humain_37,Humain_38,Humain_39,Humain_40,Humain_41,Humain_42,Humain_43,Humain_44,Humain_45,Humain_46,Humain_47,Humain_48,Humain_49,
5,11,19,7,15,18,6,2,6,7,14,19,19,15,16,12,15,1,12,6,15,16,5,18,9,12,10,11,17,2,19,8,6,6,16,0,13,12,12,1,18,1,1,19,15,14,14,12,4,2,
4,10,19,6,16,18,6,2,6,7,15,0,18,14,17,11,16,2,12,5,15,17,5,19,9,11,10,10,17,2,19,7,5,6,16,0,14,11,12,1,18,1,2,19,15,14,15,11,4,3,
4,10,19,6,17,17,6,1,6,7,15,0,18,15,17,12,16,2,12,4,15,17,6,19,8,11,9,9,16,2,18,6,5,5,17,0,14,11,12,1,18,1,2,18,15,15,15,11,3,2,
5,9,19,6,18,16,7,1,6,7,15,0,18,15,17,12,16,2,13,4,14,17,6,19,7,11,8,8,15,2,18,5,5,5,17,1,14,10,12,1,18,1,1,17,15,15,14,12,2,1,
4,9,19,5,18,17,7,1,6,7,15,0,18,15,16,11,16,2,14,4,14,17,6,18,6,11,9,8,15,2,18,5,4,4,16,2,13,10,11,2,18,1,1,17,14,15,14,12,2,0,
4,9,19,5,18,17,7,2,7,6,16,19,18,14,16,10,16,1,14,4,15,17,6,18,6,12,9,7,15,2,18,5,3,3,16,3,14,10,10,3,17,1,1,16,14,14,14,11,1,0,
4,9,0,5,18,18,8,2,8,7,16,19,18,14,16,10,16,2,14,3,15,18,7,17,6,12,9,6,16,1,19,5,3,3,15,3,14,10,9,4,17,1,1,16,15,14,14,11,1,0,
5,9,1,4,17,19,8,1,7,7,16,0,19,15,15,11,16,3,15,3,15,18,6,17,7,12,9,6,17,1,0,4,3,2,15,4,14,10,9,3,17,0,0,15,16,13,14,12,2,19,
4,9,1,4,18,0,8,2,7,6,16,1,19,14,16,11,16,3,15,3,15,18,7,18,7,12,9,6,17,1,19,4,3,1,15,5,13,10,9,3,16,0,0,14,16,13,14,11,1,19,
4,10,2,5,17,0,8,1,6,6,17,1,18,13,17,11,16,3,16,4,16,18,7,18,6,11,9,6,17,1,19,3,3,1,15,5,13,10,9,4,16,1,0,14,16,13,14,12,1,0,
5,9,1,4,17,19,8,0,6,7,17,1,18,12,17,11,15,3,16,3,16,17,7,17,6,10,9,7,17,1,0,4,3,1,15,5,13,11,10,4,17,0,1,15,16,13,14,11,2,0,
5,10,1,4,18,18,7,19,6,6,17,0,18,12,16,11,15,3,15,2,16,16,7,17,5,10,8,7,16,1,0,3,3,1,16,4,13,11,11,3,17,19,1,16,17,12,13,12,2,0,
5,9,1,4,18,18,7,0,5,7,17,0,18,13,15,11,16,3,15,2,15,16,8,17,5,9,8,8,16,1,19,4,4,1,16,4,13,12,11,2,18,18,1,17,17,12,12,11,1,19,
6,9,1,4,17,19,7,1,5,6,17,0,19,13,16,11,16,3,14,2,14,16,7,16,5,9,9,8,16,2,0,3,4,2,16,3,12,11,12,2,18,18,1,17,17,12,13,12,1,19,
5,9,2,4,16,19,6,1,4,7,17,0,18,12,16,10,16,2,14,2,15,15,7,15,5,9,9,8,17,2,0,3,4,2,16,3,11,11,11,2,18,19,1,17,17,11,12,13,2,0,
5,9,2,5,17,19,5,1,5,6,17,1,18,13,17,10,16,1,13,1,16,15,7,15,5,9,9,8,17,3,19,3,3,3,16,3,11,11,11,2,17,19,1,18,17,12,12,13,1,19,
5,9,2,4,18,18,5,2,4,6,17,2,18,13,17,10,16,1,13,1,16,15,7,15,5,8,8,8,16,4,18,3,4,4,15,3,11,11,12,2,17,19,1,17,16,12,12,14,1,19,
5,8,3,3,18,18,6,2,5,6,17,3,18,13,16,10,17,0,14,2,17,14,7,16,5,9,8,9,17,4,17,2,4,4,14,3,12,10,12,2,17,19,2,16,16,12,12,13,1,18,
6,8,2,3,17,19,7,1,6,6,17,3,18,13,16,10,18,19,14,1,16,15,7,16,5,9,9,9,17,4,16,2,4,4,13,3,12,9,12,3,17,18,2,15,16,11,11,12,1,18,
5,8,2,3,17,19,7,1,6,6,17,4,17,12,16,10,18,19,13,0,16,14,8,17,5,9,9,8,18,4,17,1,4,4,13,3,12,9,12,4,17,18,1,16,16,11,10,12,1,18,
