Humain_0,Humain_1,Humain_2,Humain_3,Humain_4,Humain_5,Humain_6,Humain_7,Humain_8,Humain_9,Humain_10,Humain_11,Humain_12,Humain_13,Humain_14,Humain_15,Humain_16,Humain_17,Humain_18,Humain_19,Humain_20,Humain_21,Humain_22,Humain_23,Humain_24,Humain_25,Humain_26,Humain_27,Humain_28,Humain_29,Humain_30,Humain_31,Humain_32,Humain_33,Humain_34,Humain_35,Humain_36,Humain_37,Humain_38,Humain_39,Humain_40,Humain_41,Humain_42,Humain_43,Humain_44,Humain_45,Humain_46,Humain_47,Humain_48,Humain_49,
15,16,19,9,3,4,16,11,18,13,18,17,0,12,6,3,4,0,0,11,10,19,12,19,5,3,16,16,15,7,5,0,5,9,6,5,7,4,3,2,7,13,18,14,14,1,2,13,10,0,
15,17,19,8,3,4,17,10,18,13,19,17,0,13,6,3,4,19,19,11,10,0,11,18,5,3,17,15,15,7,4,0,4,9,6,6,7,4,4,1,7,12,17,14,13,1,1,14,11,0,
15,16,19,9,3,5,16,11,18,12,18,17,1,14,7,3,4,19,18,12,11,1,12,18,6,3,18,15,15,7,4,0,3,10,6,5,7,3,4,2,8,13,18,14,14,1,1,13,11,0,
15,16,19,8,4,4,17,10,18,12,18,16,1,15,8,3,5,19,17,12,11,1,12,17,7,4,18,14,16,7,4,0,2,10,5,5,7,2,4,2,8,13,18,14,14,1,1,13,11,0,
16,17,18,8,4,3,17,10,17,11,18,16,1,15,8,3,6,19,18,12,10,1,11,18,7,3,17,15,17,7,5,0,2,9,5,5,8,1,4,2,9,14,18,13,14,1,0,13,12,19,
17,16,19,9,3,3,18,10,17,11,17,16,1,15,8,3,5,0,17,11,10,2,10,18,7,4,18,15,17,7,6,0,2,9,6,4,7,2,4,2,8,15,18,14,13,2,0,14,11,0,
17,15,19,10,3,3,18,9,17,11,18,17,0,14,8,4,5,0,17,12,9,1,10,18,7,3,18,15,17,8,7,0,2,8,5,4,6,3,5,1,8,16,18,14,13,3,19,14,12,0,
17,15,18,10,2,3,18,9,18,11,19,17,0,14,8,4,4,19,16,12,9,1,10,19,7,2,19,14,16,9,8,0,3,8,4,4,6,3,5,1,8,17,18,15,13,2,19,14,13,1,
17,16,18,10,2,2,18,9,17,12,19,17,19,14,8,4,4,19,16,13,9,2,11,0,6,2,0,14,17,9,9,1,3,9,5,5,7,3,5,1,7,16,18,15,13,2,19,14,13,1,
17,17,19,10,3,1,18,9,17,13,18,16,19,15,7,4,4,19,16,13,8,3,11,1,6,2,0,14,17,8,8,1,3,8,5,5,6,3,6,0,8,17,17,15,13,1,18,15,12,1,
18,17,19,10,2,1,18,9,17,14,19,16,19,16,7,4,5,0,16,13,9,2,11,2,6,3,0,13,17,7,7,1,3,8,5,5,7,3,6,0,7,16,17,15,14,1,17,14,11,1,
18,17,19,9,1,1,19,9,18,14,0,15,0,15,7,5,4,0,16,13,9,1,11,2,6,2,1,12,17,7,8,1,3,7,6,5,6,3,7,0,8,16,16,15,14,1,16,14,12,0,
18,17,18,9,1,2,19,9,17,14,19,15,0,15,8,5,5,1,17,14,8,1,11,1,6,3,2,12,18,7,8,1,3,6,7,5,6,4,8,19,9,16,16,15,15,1,16,15,12,1,
17,17,18,8,2,1,19,10,17,15,0,15,0,15,7,5,5,0,17,14,7,0,11,1,6,3,3,13,17,6,8,2,3,7,7,5,6,5,7,19,9,16,16,14,15,2,17,16,13,1,
17,17,18,9,3,1,0,10,17,15,0,14,0,15,7,5,5,0,18,14,8,0,11,1,5,4,3,13,17,6,9,2,2,7,7,5,5,6,7,19,8,16,16,14,14,1,17,17,14,1,
16,17,18,10,4,2,0,10,17,15,0,14,0,14,7,6,6,0,17,15,8,0,11,0,5,4,3,12,17,5,9,2,1,7,8,4,4,6,6,19,7,16,16,15,14,1,18,17,14,1,
16,17,18,10,5,2,0,11,17,15,0,14,1,14,6,6,5,0,17,14,9,0,11,1,4,4,2,12,16,5,10,2,1,7,7,3,3,5,5,19,6,16,16,16,15,2,17,17,14,0,
17,17,18,9,4,1,19,11,18,15,19,13,1,14,5,6,5,19,18,14,9,0,12,2,4,4,1,12,15,5,11,2,1,7,8,3,2,6,5,18,6,16,17,17,16,1,16,17,14,0,
18,18,17,9,4,1,19,12,18,16,19,12,0,13,5,6,5,19,18,13,9,19,11,3,4,3,1,11,15,5,11,2,2,7,8,3,2,6,5,18,7,15,16,18,16,1,15,17,15,0,
19,18,16,10,5,1,0,12,18,17,19,11,0,14,5,5,5,0,19,14,8,19,11,2,5,3,1,11,15,5,11,2,2,8,8,3,2,5,4,19,7,15,17,18,16,1,16,17,15,0,
0,17,16,9,6,1,1,11,19,17,0,11,0,13,4,4,6,1,19,14,8,19,12,2,4,2,1,11,16,5,11,3,3,8,7,3,1,4,4,18,7,16,18,19,17,1,16,17,15,1,
19,17,16,9,6,2,1,11,19,17,19,11,1,13,4,3,6,1,0,14,8,0,12,2,5,1,0,10,16,5,12,3,3,8,8,3,1,3,4,19,8,16,17,0,18,0,15,17,15,0,
0,16,15,9,7,1,2,10,19,18,19,12,1,14,5,3,7,2,0,14,8,0,12,2,5,2,19,11,16,4,12,2,3,7,7,3,1,3,3,19,9,15,18,0,18,0,15,17,14,19,
1,15,15,9,7,1,1,11,19,18,19,12,1,15,5,3,7,2,0,14,8,0,12,2,5,1,19,11,17,4,13,2,4,7,6,4,1,4,3,18,9,15,18,1,19,0,16,17,14,19,
2,15,15,9,8,1,1,11,19,17,0,12,1,16,5,3,7,2,0,14,8,1,11,2,5,1,19,11,16,4,14,2,5,6,7,3,1,4,3,17,10,15,18,1,0,0,17,17,13,18,
2,15,14,9,8,1,2,11,18,16,19,12,1,17,5,4,7,2,0,13,8,1,11,3,4,1,19,10,16,5,15,2,6,6,8,2,1,3,3,17,10,14,18,1,0,19,17,17,13,18,
2,16,14,9,8,1,3,10,17,16,19,13,0,18,5,4,7,2,19,13,8,1,11,4,4,2,0,11,15,6,15,2,5,6,8,2,1,3,3,16,11,13,19,1,19,19,17,18,12,19,
